============================== SRIM-2003.24 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = He (02)   Ion Mass= 004.0030
Energy  = 1000000.E-07 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E-02 A
  Layer # 1 - Density =0008.9200 g/cm3
  Layer # 1 -  100 % of Cu
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000179   1.3890E+01 -1.2001E+01  8.0919E+00
0000181   1.1583E+01 -7.1047E+00 -4.3323E+00
0000182   8.6742E+00  2.4695E+01 -2.3853E+01
0000184   2.5012E+01  1.0391E+01  1.2442E+01
0000186   1.7053E+01  2.2021E+00 -3.8643E+00
0000190   2.9912E+01  8.6723E-01  9.0397E+00
0000193   2.1423E+01 -2.0252E+01  5.1528E+00
0000198   1.2344E+01 -3.6640E+00 -1.4361E+01
0000199   2.3627E+01 -8.2831E+00 -5.3987E+00
0000203   3.0223E+01 -1.7412E+01  1.7442E+01
0000204   1.2277E+01 -1.2242E+01  4.3467E+00
0000205   2.4009E+01 -1.9038E+01  1.1849E+01
0000208   2.2753E+01 -9.3409E+00  1.5558E+01
0000209   1.8999E+01 -1.1101E+01  2.0656E+01
0000213   2.2898E+01 -2.3801E+01  1.2649E+01
0000214   1.1469E+01 -3.1603E+00  4.5368E+00
0000215   1.8024E+01 -1.1348E+00  1.9617E+01
0000216   1.8916E+01 -2.1798E+01 -4.6444E+00
0000219   1.3976E+01  5.1200E-01  1.9238E+01
0000223   6.0073E+00 -1.1333E+01  1.4515E+01
0000226   5.2899E+00 -4.3427E+00  7.9982E+00
0000229   1.5873E+01 -5.7427E+00  2.3007E+00
0000230   1.8812E+01  1.2945E+01 -2.5690E+00
0000231   2.4271E+01 -1.3183E+01 -7.2155E+00
0000232   2.0282E+01  8.5222E+00  1.7469E+01
0000233   1.4053E+01 -1.1171E+01 -5.1833E+00
0000235   1.9452E+01 -1.7608E+00  1.5916E-01
0000237   7.7146E+00 -1.5801E+01  4.5584E+00
0000238   2.1562E+01  2.2994E+00 -2.1737E+00
0000239   9.7754E+00 -7.3977E+00  8.5576E+00
0000240   9.4949E+00 -4.8263E+00 -5.4565E+00
0000242   6.7386E+00 -3.5074E+00 -4.1984E+00
0000243   1.5599E+01 -1.4083E+01 -6.9960E+00
0000244   2.0363E+01  1.4970E+01 -1.5674E+01
0000245   7.6991E+00 -8.4214E+00 -1.1562E+01
0000247   2.8787E+01  6.4450E+00 -6.3188E+00
0000248   4.1916E+00 -1.9333E+00 -1.1195E+01
0000249   3.9085E+00 -6.1853E+00  1.8474E+01
0000250   2.1876E+01 -1.0939E+01  1.2880E-01
0000255   4.4746E+00 -2.8680E+01  4.1062E+00
0000258   4.5393E+01 -1.3265E+00  2.2124E+01
0000259   2.2949E+01 -5.9599E-01  2.1259E+01
0000260   1.3301E+01  1.7398E+01 -4.0855E+00
0000263   9.8893E+00 -6.6034E+00  1.4859E+01
0000264   4.7490E+00  2.3645E+01 -9.6530E-01
0000265   1.7375E+01 -1.5051E+01  1.6127E+01
0000266   1.3637E+01  1.3960E+01  1.2793E+01
0000268   8.4013E+00  8.6114E+00 -9.5003E+00
0000270   2.9520E+01 -3.8144E+00  1.0053E+01
0000271   1.5614E+01 -4.7253E+00  3.6153E+00
0000272   1.2960E+01  2.4514E+00  1.0791E+01
0000273   4.8718E+00  2.3080E+01  4.2295E+00
0000275   4.2781E+01 -1.5850E+01  1.3846E+01
0000276   5.0040E+00 -4.9456E+00  1.0877E+01
0000277   7.6265E+00 -6.9092E-01 -1.1094E+00
0000278   2.9886E+01  7.3921E+00  7.8393E+00
0000280   1.9998E+01 -1.5435E+01  9.0033E+00
0000281   2.0758E+01 -2.5275E+01 -2.0804E+01
0000282   2.4829E+00  4.2202E+00 -2.8338E-01
0000283   1.3582E+01 -1.0462E+01 -9.8636E-01
0000284   2.2426E+01 -2.3843E+00 -2.0811E+01
0000285   2.0819E+01 -1.3500E+01  3.0907E+00
0000288   7.9520E+00 -1.5932E+00  2.7832E+01
0000290   1.2533E+01  1.9250E+01 -4.2297E+00
0000294   1.1202E+01 -5.2577E+00  1.2010E+01
0000296   1.2255E+01  1.0228E+01 -1.4021E+01
0000297   6.7724E+00 -4.8856E+00 -6.4270E+00
0000298   1.6801E+01 -3.2459E+00 -4.0263E+00
0000299   8.8431E+00 -9.5238E+00  2.9375E+00
0000301   3.2346E+00  8.1114E+00 -9.3092E-01
0000302   5.3569E+00  1.0922E-01 -6.9229E+00
0000303   8.1778E+00 -3.6762E+01  8.5181E+00
0000305   2.7217E+01 -6.8288E+00  1.9065E+00
0000306   7.0490E+00 -4.8248E+00 -8.7612E+00
0000308   1.5366E+01  1.4017E+01 -2.4023E+01
0000309   4.2699E+01 -1.2145E+01 -8.1129E+00
0000310   2.5676E+01 -1.4605E+01 -4.7844E+00
0000311   2.0792E+01 -2.8132E+01 -1.2888E+01
0000312   2.4856E+01 -2.1501E+01  7.8092E+00
0000313   1.9833E+01 -5.9700E+00  7.9178E+00
0000316   1.3208E+01  6.5646E+00  8.3103E+00
0000317   9.3800E+00  5.3479E-01 -2.2372E+00
0000318   4.9921E+00 -1.0604E+01 -8.6207E+00
0000319   8.2108E+00  5.5472E+00 -2.3462E+00
0000321   7.1461E+00  2.0838E+01  3.9160E+00
0000322   2.0350E+01 -1.2612E+01  5.9981E-01
0000325   1.0562E+01  4.7692E+00 -1.7702E+01
0000328   1.3857E+01  1.0298E+01 -1.3081E+01
0000329   2.1179E+01  1.3785E+01  2.8835E+00
0000330   3.3316E+01  5.9198E+00 -1.4293E+01
0000331   1.2608E+01 -7.8544E+00 -1.0747E+01
0000332   1.8861E+01 -6.9609E+00  1.6427E+00
0000334   1.4131E+01  2.0453E+00 -5.6092E+00
0000340   2.6691E+01 -8.3765E+00 -1.3601E+01
0000341   2.2462E+01 -1.7373E+00 -6.2894E-01
0000342   1.6493E+01 -7.1852E+00 -4.7285E-01
0000347   2.2172E+01  8.9669E+00 -7.1038E+00
0000348   3.1962E+00  4.0205E+00 -3.2044E+00
0000349   1.0943E+01  1.2751E+01 -7.2830E+00
0000352   2.8518E+00 -1.1942E+01 -2.1597E+00
0000354   5.3559E+00  2.4302E+01  1.6581E+01
0000356   2.3422E+01 -8.5924E+00  1.4101E+01
0000358   2.4754E+01  1.7941E+01  1.4236E+01
0000359   3.8456E+01  1.1186E+01 -9.8634E+00
0000361   1.3647E+01  4.2219E+00  1.8662E+01
0000363   1.8294E+01 -7.7085E+00 -4.3174E+00
0000364   1.4213E+01  2.2739E+01 -2.0875E+00
0000367   1.6035E+01 -7.3288E+00 -3.6727E+00
0000368   2.0143E+01  8.6544E+00  1.6858E+01
0000370   3.0048E+01 -6.0481E+00 -7.8180E+00
0000372   1.6241E+01  1.9749E+00 -8.8547E+00
0000376   2.9227E+00 -1.4839E+01 -4.2238E+00
0000377   2.1733E+01  3.2491E+00  2.4043E+01
0000379   1.7441E+01 -7.7408E+00  7.3155E+00
0000380   1.7772E+01  4.9795E+00 -4.1060E+00
0000382   1.1733E+01  1.6782E+01  2.3315E+01
0000383   8.0455E+00  3.3885E+00  7.2467E-01
